GeoAreaName,Region,ISOalpha3,TimePeriod,court,Typeofoccupation,SDG1671C_Female,SDG1671C_Male,male,female,total,female_share,male_share,age_under_35,between_35_44,between_45_54,between_55_64,above_65,age_under_45_proportional,not_disabled,disabled,group_a,group_b,group_c,age_under_45_ratio,disability_proportional,group_a_proportional,group_b_proportional,group_c_proportional,Source,FootNote
Switzerland,Northern America and Europe,CHE,2016,supreme,Judges,0.631578922,1.368421078,26,12,38,0.315789461,0.684210539,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Switzerland,Northern America and Europe,CHE,2016,total,Judges,0.826538742,1.173461199,734,517,1251,0.413269371,0.586730599,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Switzerland,Northern America and Europe,CHE,2016,low,Judges,0.92750001,1.07249999,429,371,800,0.463750005,0.536249995,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Switzerland,Northern America and Europe,CHE,2016,high,Judges,0.648910403,1.351089597,279,134,413,0.324455202,0.675544798,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Switzerland,Northern America and Europe,CHE,2018,supreme,Judges,0.736842096,1.263157845,24,14,38,0.368421048,0.631578922,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Switzerland,Northern America and Europe,CHE,2018,low,Judges,0.922699392,1.077300668,439,376,815,0.461349696,0.538650334,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Switzerland,Northern America and Europe,CHE,2018,high,Judges,0.718826413,1.281173587,262,147,409,0.359413207,0.640586793,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Switzerland,Northern America and Europe,CHE,2018,total,Judges,0.851030111,1.148969889,725,537,1262,0.425515056,0.574484944,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Switzerland,Northern America and Europe,CHE,2019,total,Registrars,1.235764503,0.764235497,4731,7650,12381,0.617882252,0.382117748,3796,3514,2960,2020,91,,,,,,,55,,,,,Structural Survey,"Data are based on the labour force survey. For Inclusive representation in the judiciary, the number of people in the inclulsive representation of public service is based on very few observations. This result should be taken with great caution. The disability status is not available (too much variability who have an impact on the ratio)."
Switzerland,Northern America and Europe,CHE,2019,total,Judges,0.848664701,1.151335359,970,715,1685,0.42433235,0.575667679,29,432,559,570,95,,,,,,,55,,,,,Structural Survey,"Data are based on the labour force survey. For Inclusive representation in the judiciary, the number of people in the inclulsive representation of public service is based on very few observations. This result should be taken with great caution. The disability status is not available (too much variability who have an impact on the ratio)."
Switzerland,Northern America and Europe,CHE,2020,total,Registrars,1.250729322,0.749270678,4623,7717,12340,0.625364661,0.374635339,4269,3623,2684,1661,103,,,,,,,55,,,,,Structural Survey,"Data are based on the labour force survey. For Inclusive representation in the judiciary, the number of people in the inclulsive representation of public service is based on very few observations. This result should be taken with great caution. The disability status is not available (too much variability who have an impact on the ratio)."
Switzerland,Northern America and Europe,CHE,2020,total,Judges,0.987618327,1.012381673,695,678,1373,0.493809164,0.506190836,0,330,541,380,122,,,,,,,55,,,,,Structural Survey,"Data are based on the labour force survey. For Inclusive representation in the judiciary, the number of people in the inclulsive representation of public service is based on very few observations. This result should be taken with great caution. The disability status is not available (too much variability who have an impact on the ratio)."
Switzerland,Northern America and Europe,CHE,2021,total,Registrars,1.210617423,0.789382577,5472,8392,13864,0.605308712,0.394691288,4085,4571,3011,2029,168,,,,,,,55,,,,,Structural Survey,"Data are based on the structural survey. For Inclusive representation in the judiciary, the number of people in the inclusive representation of public service is based on very few informations. This result should be taken with great caution. The disability status is not available (to much variability who have an impact on the ratio)."
Switzerland,Northern America and Europe,CHE,2021,total,Judges,1.161157012,0.838842988,609,843,1452,0.580578506,0.419421494,36,290,367,545,214,,,,,,,55,,,,,Structural Survey,"Data are based on the structural survey. For Inclusive representation in the judiciary, the number of people in the inclusive representation of public service is based on very few informations. This result should be taken with great caution. The disability status is not available (to much variability who have an impact on the ratio)."
Switzerland,Northern America and Europe,CHE,2022,low,Judges,0.996389866,1.003610134,417,414,831,0.498194933,0.501805067,,,,,,,,,,,,55.2,,,,,Structural Survey,"Data are based on the structural survey. For inclusive representation in the judiciary, the number of people in the inclusive representation of public service is based on very few observations. This result should be taken with great caution. The disability status is not available (too much variability which has impact on the ratio)."
Switzerland,Northern America and Europe,CHE,2022,total,Registrars,1.239297748,0.760702312,5784,9423,15207,0.619648874,0.380351156,6054,3795,3290,1900,169,,,,,,,55.2,,,,,Structural Survey,"Data are based on the structural survey. For inclusive representation in the judiciary, the number of people in the inclusive representation of public service is based on very few observations. This result should be taken with great caution. The disability status is not available (too much variability which has impact on the ratio)."
