GeoAreaName,Region,ISOalpha3,Source,FootNote,Year_of_appointment,chief_justice_name,sex_chief_justice
Egypt,Western Asia and Northern Africa,EGY,Supreme Court of Egypt,Supreme Court of Egypt,,Paul Fahmy Iskandar,MALE
El Salvador,Latin America and the Caribbean,SLV,Supreme Court Site,Corte Suprema de Justicia,,Henry Alexander Mejia,MALE
Equatorial Guinea,Sub-Saharan Africa,GNQ,Government's Site,Supreme Court of Justice,,Francisco Evuy Nguema,MALE
Eritrea,Sub-Saharan Africa,ERI,"SSRN Journal, World Court of Human Rights",High Court of Eritrea,2001,Menkerios Beraki,MALE
Estonia,Europe and Northern America,EST,Supreme Court Website,,2019,Villu Kõve,MALE
Eswatini,Sub-Saharan Africa,SWZ,Judicairy Website,,,Bheki Maphalala,MALE
Ethiopia,Sub-Saharan Africa,ETH,"UNODC, CJCA, News",Federal Supreme Court of Ethiopia,2024,Tewodros Mihret,MALE
Falkland Islands (Malvinas),Latin America and the Caribbean,FLK,Judicial Committee of the Privy Council Site,Judicial Committee of the Privy Council Site,2020,Reed of Allermuir,MALE
Faroe Islands,Europe and Northern America,FRO,Supreme Court Website,Supreme Court,2006,"Jens Peter Christensen, President",MALE
Fiji,Oceania excluding Australia and New Zealand,FJI,Judiciary Website,Supreme Court,,Salesi Temo,MALE
Finland,Europe and Northern America,FIN,Supreme Court Site,Supreme Court,2019,Tatu Leppänen,MALE
France,Europe and Northern America,FRA,Court of Cassation Website,Court of Cassation of France,2022,Christophe Soulard,MALE
French Guiana,Latin America and the Caribbean,GUF,Court of Cassation Website,Court of Cassation of France,2022,Christophe Soulard,MALE
French Polynesia,Latin America and the Caribbean,PYF,Court of Cassation Website,Court of Cassation of France,2022,Christophe Soulard,MALE
Gabon,Sub-Saharan Africa,GAB,"CJCA, Association of Francophone Constitutional Courts",Constitutional Court,2025,M. Dieudonné ABA’A OWONO,MALE
Gambia,Sub-Saharan Africa,GMB,Judicairy Website,,,Hassan B Jallow,MALE
Georgia,Western Asia and Northern Africa,GEO,Supreme Court of Georgia Site,Supreme Court of Georgia,,NELS S.D. PETERSON,MALE
Germany,Europe and Northern America,DEU,Federal Constitutional Court Site,Federal Constitutional Court,2020,Stephan Harbarth,MALE
Ghana,Sub-Saharan Africa,GHA,Judicairy Website,Supreme Court,2025,Paul Baffoe-Bonnie,MALE
